start_station_name,cluster,lat,lng,total_count
LaSalle St & Calhoun Pl Corral,1,41.882878099623376,-87.63250888120878,1001
LaSalle St & Illinois St,0,41.89076466226765,-87.63169849481166,20314
LaSalle St & Jackson Blvd,1,41.87816404355849,-87.63192711324335,13454
LaSalle St & Jackson Blvd Corral,1,41.87815468128787,-87.63203508408496,1789
LaSalle St & Washington St,1,41.88296407343879,-87.63231018463476,5914
LaSalle St & Washington St Corral,1,41.88286990298947,-87.63250809922106,570
LaSalle St & Washington St Corral N,1,41.8828759142971,-87.63251470777826,690
Laflin St & Cullerton St,2,41.854911839483705,-87.6635653808187,2646
Lake Park Ave & 35th St,2,41.831274075954745,-87.60879928585283,2162
Lake Park Ave & 47th St,2,41.80944287333121,-87.59187489042053,1881
Lake Park Ave & 53rd St,2,41.79949444832963,-87.58644987857733,6541
Lake Park Ave & 56th St,2,41.791609945682396,-87.58747885678464,6250
Lakefront Trail & Bryn Mawr Ave,2,41.98404391239709,-87.65228235910794,11400
Lakefront Trail & Wilson Ave,2,41.96685577145422,-87.64309278953516,7153
Lakeview Ave & Fullerton Pkwy,2,41.9258675686891,-87.63897322627545,14706
Larrabee St & Armitage Ave,2,41.91808460103824,-87.64374887033188,7506
Larrabee St & Clybourn Ave,2,41.90660164930691,-87.64322070299605,1766
Larrabee St & Division St,2,41.903487484790055,-87.64335357481457,10607
Larrabee St & Kingsbury St,1,41.89776143977796,-87.64288820677609,14011
Larrabee St & Kingsbury St 1,1,41.89776250990604,-87.64288684331758,5885
Larrabee St & Kingsbury St 2,1,41.897577823333414,-87.64290021228227,3989
Larrabee St & Menomonee St,2,41.91468121196596,-87.64332107027289,5288
Larrabee St & North Ave,2,41.91019892747441,-87.64350575203659,5777
Larrabee St & Oak St,2,41.90029961157738,-87.64250632344172,6869
Larrabee St & Webster Ave,2,41.92182237673467,-87.64413726574934,15024
Leavitt St & Addison St,2,41.94665412599693,-87.68335879616315,2605
Leavitt St & Archer Ave,0,41.82879092939077,-87.68060610338472,981
Leavitt St & Armitage Ave,2,41.917804968961576,-87.68244087745268,5231
Leavitt St & Augusta Blvd,2,41.89962191027189,-87.6819399124634,1530
Leavitt St & Belmont Ave,2,41.93935309831645,-87.68328136434246,4345
Leavitt St & Chicago Ave,2,41.89549952296114,-87.68201503953102,5043
Leavitt St & Division St,2,41.90299789224036,-87.68382110092709,3872
Leavitt St & Hirsch St,2,41.90689915171455,-87.68232985733457,1079
Leavitt St & Lawrence Ave,2,41.96888649962745,-87.68400404901583,3664
Leavitt St & North Ave,2,41.91019894307997,-87.6823472403389,5627
Leavitt St/North Ave,2,41.91007699367015,-87.68230874934477,1340
Lincoln Ave & Addison St,2,41.94617611324804,-87.67330778422858,3701
Lincoln Ave & Balmoral Ave,0,41.97946104514643,-87.69301378162857,840
